"№
сертификата","Дата
внесения
в реестр","Срок
действия
сертификата","Наименование
средства (шифр)","Наименования документов, требованиям которых соответствует средство","Схема
сертификации","Испытательная
лаборатория","Орган по
сертификации","Заявитель","Реквизиты заявителя
(индекс, адрес, телефон)","Информация об окончании срока технической поддержки, полученная от заявителя"
"4370","10.02.2021","10.02.2026","система управления базами данных «Microsoft SQL Server 2019»","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","ООО «НТЦ «ИРБИС»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «СИС груп»","117246, Москва, вн.тер.г. муниципальный округ Черемушки, проезд Научный, д. 17, этаж 8, пом/комн XXIX/36, (495) 229-5607",
"4371","07.02.2021","07.02.2026","программное обеспечение Единая автоматизированная информационная система технического осмотра транспортных средств, «ЕАИСТО», Версия 2.0","Соответствует требованиям документов: Требования доверия(4), ТУ","3","АО «НПО «Эшелон»","ФСТЭК России","ЦСН БДД МВД России","121170, г. Москва, ул. Поклонная, д. 17",
"4372","17.02.2021","17.02.2026","программный комплекс автоматизации станций скорой медицинской помощи «АДИС», версия 8.Х","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","ООО «СИС груп»","117246, Москва, вн.тер.г. муниципальный округ Черемушки, проезд Научный, д. 17, этаж 8, пом/комн XXIX/36, (495) 229-5607",
"4373","19.02.2021","19.02.2026","межсетевой экран серии Cisco Firepower 2100 (модели: Firepower 2110, Firepower 2120, Firepower 2130, Firepower 2140)","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(А шестого класса защиты. ИТ.МЭ.А6.ПЗ), Профиль защиты МЭ(Б шестого класса защиты. ИТ.МЭ.Б6.ПЗ)","серия","АО «Лаборатория ППШ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «САТЕЛ»","127106, г. Москва, Гостиничный проезд, д. 4Б, пом. 1, эт. 4, комн. 33, (495) 785-8877",
"4374","11.03.2021","11.03.2026","средство защиты информации от несанкционированного доступа «Блокхост-Сеть 4»","Соответствует требованиям документов: Требования доверия(4), Требования к СКН, Профиль защиты СКН(контроля подключения съемных машинных носителей информации четвертого класса защиты. ИТ.СКН.П4.ПЗ), РД СВТ(5), ТУ","серия","Санкт-Петербургский НТЦ ФГУП «НПП «Гамма»","АО «Лаборатория ППШ»","ООО «Газинформсервис»","198096, г. Санкт-Петербург, ул. Кронштадтская, дом 10, лит. А, (812) 677-2050",
"4375","19.02.2021","19.02.2026","программный комплекс «Система мониторинга информационной безопасности NeuroDAT SIEM»","Соответствует требованиям документов: Требования доверия(4), ЗБ","серия","МОУ «ИИФ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ЦБИ»","141090, Московская область, г. Королев, микрорайон Юбилейный, ул. Ленинская, дом 4, п/п 10, (495) 543-3060",
"4376","05.03.2021","05.03.2026","программный модуль расчёта «Талис-НЧ-Дельта»","Соответствует требованиям документов: ТУ, Методика АЭП-2018","серия","ООО «ЦБИ»","АО «БИТК»","ООО «ЦБИ «МАСКОМ»","119607, г. Москва, Мичуринский проспект, д. 27, к. 2, подв. помещение 48, (495) 136-4010",
"4377","10.03.2021","10.03.2026","программное обеспечение «Подсистема «Технологический портал МПГУ»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",
"4378","11.03.2021","11.03.2026","программный комплекс для автоматизации и управления ресурсами виртуальной инфраструктуры VMware vRealize Automation","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","ООО «ЛИССИ-Софт»","АО «НПО «Эшелон»","ООО «Аквила»","141092, Московская область, г. Королёв, мкр. Юбилейный, ул. Лесная, д. 16, эт. 4, пом. 3, (495) 642-3060",
"4379","22.03.2021","22.03.2026","программно-аппаратный комплекс ViPNet Coordinator IG 4","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ), Профиль защиты МЭ(Д четвертого класса защиты. ИТ.МЭ.Д4.ПЗ)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ИнфоТеКС»","127083, г. Москва, ул. Мишина, д. 56, стр. 2, эт. 2, помещение IX, комната 29, (495) 737-6192",
"4380","08.04.2021","08.04.2026","программное изделие «Система многопоточной проверки файловых ресурсов Positive Technologies MultiScanner»","Соответствует требованиям документов: Требования доверия(4), Требования к САВЗ, Профиль защиты САВЗ(А четвертого класса защиты. ИТ.САВЗ.А4.ПЗ)","серия","ФГУП «РФЯЦ-ВНИИЭФ»","АО «Лаборатория ППШ»","ООО «Прорывные технологии»","107113, г. Москва, ул. Маленковская, д. 14, к. 3, помещ. 4, этаж 1, ком. 1, офис 205, +7 (915) 041-11-68",
"4381","31.03.2021","31.03.2026","операционная система общего назначения «Основа»","Соответствует требованиям документов: Требования доверия(4), Требования к ОС, Профиль защиты ОС(А четвертого класса защиты. ИТ.ОС.А4.ПЗ)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «НППКТ»","127322, г. Москва, Огородный проезд, д. 20, стр. 25, этаж 3, помещение № II, ком. № 1",
"4382","01.04.2021","01.04.2026","прикладное программное обеспечение «Центр автоматизированной фиксации административных правонарушений в сфере коммунального хозяйства и обслуживания объектов городского хозяйства Правительства Москвы»","Соответствует требованиям документов: Требования доверия(6), ТУ","2","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",
"4383","08.04.2021","08.04.2026","программное обеспечение «REMSMED» (ПО REMSMED). Версия 1.13.5»","Соответствует требованиям документов: Требования доверия(5), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Ай-ФОРС»","129626, г. Москва, Графский переулок, 14к2, 8 (495) 747-70-40",
"4384","21.04.2021","21.04.2026","прикладное программное обеспечение системы обработки электронных сообщений граждан Единой городской автоматизированной системы обеспечения поддержки деятельности Открытого правительства города Москвы","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",
"4385","31.03.2021","31.03.2026","информационная система интеллектуального поиска и анализа данных «ОРАКУЛ»","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «ДМС»","115114, г. Москва, Дербеневская наб., д. 11, оф. 1204, корп. 2, сектор В, 12 эт.",
"4386","14.04.2021","14.04.2026","Межсетевые экраны ESR-1500, ESR-1511, версия программного обеспечения 1.5","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(А четвертого класса защиты. ИТ.МЭ.А4.ПЗ)","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","ООО «Предприятие «ЭЛТЕКС»","630020, г. Новосибирск, ул. Окружная, д. 29В, (383) 274-4800",
"4387","14.04.2021","14.04.2026","прикладное программное обеспечение подсистемы сбора и репликации данных Единой городской автоматизированной системы обеспечения поддержки деятельности Открытого правительства города Москвы","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",
"4388","15.04.2021","15.04.2026","система управления базами данных Oracle Database 19 с опциями Oracle Advanced Security и Oracle Database Vault","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","ЗАО ГИЦ ПС ВТ","ООО «ЦБИ»","ООО ЦРИОИТ","170023, г. Тверь, ул. Ржевская, дом 10, (4822) 44-3820",
"4389","15.04.2021","15.04.2026","программное обеспечение «Система сетевой безопасности Mirada»","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(Б четвертого класса защиты. ИТ.МЭ.Б4.ПЗ), Профиль защиты МЭ(Д четвертого класса защиты. ИТ.МЭ.Д4.ПЗ), Требования к СОВ, Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ)","серия","АО «Эшелон-Северо-Запад»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «КДМ»","119270, г. Москва, Лужнецкая набережная, д. 2, стр. 82, офис 312, (499) 408-1910",
"4391","21.04.2021","21.04.2026","прикладное программное обеспечение «Программный комплекс национальный каталог маркированных товаров»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Оператор-ЦРПТ»","123022, г. Москва, ул. Рочдельская, д. 15, стр. 16А, Бизнес-парк «Трехгорная Мануфактура», (499) 350-8559",
"4392","26.04.2021","26.04.2026","средство вычислительной техники в защищенном исполнении «Барьер»","Соответствует требованиям документов: Требования ТЗИ, ТУ","серия","АО «Лаборатория ППШ»","ООО «ЦБИ»","ООО АКБ «Барьер»","394018, г. Воронеж, ул. Никитинская, д. 42, оф. 509, (473) 202-24-64",
"4393","26.04.2021","26.04.2026","операционная система «AlterOS»","Соответствует требованиям документов: Требования доверия(4), Требования к ОС, Профиль защиты ОС(А четвертого класса защиты. ИТ.ОС.А4.ПЗ)","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","ООО «АЛМИ Партнер»","603093, Нижегородская обл., г. Нижний Новгород, ул. Ковровская, д. 21а, оф. 77, этаж 7",
"4394","27.04.2021","27.04.2026","программный комплекс обнаружения вторжений «Ребус-СОВ»","Соответствует требованиям документов: Требования доверия(2), Требования к СОВ, Профили защиты СОВ(cети второго класса защиты. ИТ.СОВ.С2.ПЗ), Профили защиты СОВ(узла второго класса защиты. ИТ.СОВ.У2.ПЗ)","серия","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","АО НИИ ЦПС","170024, Тверская обл., г. Тверь, пр-к Николая Корыткова, д. 3А, (482) 244-3244",
"4395","28.04.2021","28.04.2026","программный комплекс автоматизации процессов подготовки отчётности при решении задач мобилизационной подготовки по воинскому учету и бронированию граждан, пребывающих в запасе Вооруженных Сил Российской Федерации (ПК «ВУП»). Очередь 2019 г.","Соответствует требованиям документов: Требования доверия(3)","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","ЗАО «НПЦ ИРС»","140032, Московская обл., Люберецкий район, пос. Малаховка,  ул. Шоссейная, д. 1а, (495) 330-0788",
"4396","27.04.2021","27.04.2026","программный комплекс VMware Horizon с системой идентификации и аутентификации VMware Workspace ONE Access","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","ООО «ЛИССИ-Софт»","АО «НПО «Эшелон»","ООО «Аквила»","141092, Московская область, г. Королёв, мкр. Юбилейный, ул. Лесная, д. 16, эт. 4, пом. 3, (495) 642-3060",
"4397","30.04.2021","30.04.2026","коммутатор Cisco VS-C6509E-SUP2T с установленным модулем ASASM с установленным программным обеспечение Cisco ASA версии 9.12(4)7","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(Б шестого класса защиты. ИТ.МЭ.Б6.ПЗ)","2","ООО «НТЦ «ИРБИС»","ООО «ЦБИ»","АО «Техснабэкспорт»","115184, Москва, Озерковская наб., д. 28, стр. 3, (495) 545-0045",
"4398","30.04.2021","30.04.2026","программная платформа VMware NSX-T Data Center","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(Б шестого класса защиты. ИТ.МЭ.Б6.ПЗ)","серия","ООО «ЛИССИ-Софт»","ООО «ЦБИ»","ООО «Аквила»","141092, Московская область, г. Королёв, мкр. Юбилейный, ул. Лесная, д. 16, эт. 4, пом. 3, (495) 642-3060",
"4399","30.04.2021","30.04.2026","комплекс программ «Защищенная операционная система «СинтезМ»","Соответствует требованиям документов: Требования доверия(4), Требования к ОС, Профиль защиты ОС(А четвертого класса защиты. ИТ.ОС.А4.ПЗ)","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ФИНТЕХ»","119180, г. Москва, 1-й Хвостов пер., д. 11-А, 8 (499) 238-0132",
"4401","12.05.2021","12.05.2026","программно-технические средства информационной системы в защищенном исполнении «Темпест»","Соответствует требованиям документов: Требования ТЗИ, ТУ","серия","МОУ «ИИФ»","АО «БИТК»","ООО «ЦБИ»","141090, Московская область, г. Королев, микрорайон Юбилейный, ул. Ленинская, дом 4, п/п 10, (495) 543-3060",
"4402","12.05.2021","12.05.2026","программный комплекс «Система управления событиями безопасности «RuSIEM»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «РуСИЕМ»","121205, г. Москва, Территория Сколково Инновационного центра, ул. Большой б-р, д. 42, стр. 1, эт. 4, часть пом. 1485, (495) 748-8311",
"4403","14.05.2021","14.05.2026","операционная система Red Hat Enterprise Linux 8","Соответствует требованиям документов: Требования доверия(6), Требования к ОС, Профиль защиты ОС(А шестого класса защиты. ИТ.ОС.А6.ПЗ)","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","ООО «СИС груп»","117246, Москва, вн.тер.г. муниципальный округ Черемушки, проезд Научный, д. 17, этаж 8, пом/комн XXIX/36, (495) 229-5607",
"4404","14.05.2021","14.05.2026","межсетевой экран Cisco ASA5525-K8 с установленным программным обеспечением Cisco ASA версии 9.14(1)30","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(А шестого класса защиты. ИТ.МЭ.А6.ПЗ)","5","АО «Лаборатория ППШ»","ООО «ЦБИ»","ПАО РОСБАНК","107078, г. Москва, ул. Маши Порываевой, д. 34, (495) 662-1300",
"4405","14.05.2021","14.05.2026","межсетевой экран Cisco FPR2110-ASA-K9 с установленным программным обеспечением Cisco ASA версии 9.14(1)30","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(А шестого класса защиты. ИТ.МЭ.А6.ПЗ)","1","АО «Лаборатория ППШ»","ООО «ЦБИ»","ПАО РОСБАНК","107078, г. Москва, ул. Маши Порываевой, д. 34, (495) 662-1300",
"4406","14.05.2021","14.05.2026","межсетевой экран Cisco ASA5555-K8 с установленным программным обеспечением Cisco ASA версии 9.14(1)30","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(А шестого класса защиты. ИТ.МЭ.А6.ПЗ)","7","АО «Лаборатория ППШ»","ООО «ЦБИ»","ПАО РОСБАНК","107078, г. Москва, ул. Маши Порываевой, д. 34, (495) 662-1300",
"4407","14.05.2021","14.05.2026","межсетевой экран серии Cisco ASA 55xx (модели: Cisco ASA 5512, Cisco ASA 5515, Cisco ASA 5525, Cisco ASA 5545, Cisco ASA 5555, Cisco ASA 5585) с установленным программным обеспечением Cisco ASA версии 9.X","Соответствует требованиям документов: Требования доверия(6), Требования к МЭ, Профиль защиты МЭ(А шестого класса защиты. ИТ.МЭ.А6.ПЗ), Профиль защиты МЭ(Б шестого класса защиты. ИТ.МЭ.Б6.ПЗ)","серия","ООО «НТЦ «ИРБИС»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «САТЕЛ»","127106, г. Москва, Гостиничный проезд, д. 4Б, пом. 1, эт. 4, комн. 33, (495) 785-8877",
"4408","14.05.2021","14.05.2026","программное изделие «Kaspersky Endpoint Security для Linux редакция под Эльбрус»","Соответствует требованиям документов: Требования доверия(2), Требования к САВЗ, Профиль защиты САВЗ(Б второго класса защиты. ИТ.САВЗ.Б2.ПЗ), Профиль защиты САВЗ(В второго класса защиты. ИТ.САВЗ.В2.ПЗ), Профиль защиты САВЗ(Г второго класса защиты. ИТ.САВЗ.Г2.ПЗ)","серия","АО «СИНКЛИТ»","АО «Лаборатория ППШ»","АО «Лаборатория Касперского»","125212, г. Москва, Ленинградское шоссе, д. 39А, стр. 2, (495) 797-8700",
"4409","17.05.2021","17.05.2026","фильтр помехоподавляющий сетевой марки ФП-6 (20А)","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","ООО «НПП «СПО»","109559, г. Москва, ул. Цимлянская, зд. 3, стр. 1, (495) 922-9329",
"4410","17.05.2021","17.05.2026","фильтр помехоподавляющий сетевой марки ФП-6М (40А)","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","ООО «ЦБИ»","АО «Лаборатория ППШ»","ООО «НПП «СПО»","109559, г. Москва, ул. Цимлянская, зд. 3, стр. 1, (495) 922-9329",
"4411","20.05.2021","20.05.2026","программное обеспечение JaCarta Management System v3.7","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","ООО НТЦ «Фобос-НТ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «Аладдин Р.Д.»","129226, г. Москва, ул. Докукина, д. 16, стр. 1, (495) 223-0001",
"4412","21.05.2021","21.05.2026","операционная система Red Hat Enterprise Linux 7","Соответствует требованиям документов: Требования доверия(6), Требования к ОС, Профиль защиты ОС(А шестого класса защиты. ИТ.ОС.А6.ПЗ)","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","ООО «СИС груп»","117246, Москва, вн.тер.г. муниципальный округ Черемушки, проезд Научный, д. 17, этаж 8, пом/комн XXIX/36, (495) 229-5607",
"4413","28.05.2021","28.05.2026","прикладное программное обеспечение краудсорсинговой платформы Правительства Москвы","Соответствует требованиям документов: Требования доверия(6), ТУ","2","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",
"4414","02.06.2021","02.06.2026","программное обеспечение «SAP Application Platform 7»","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «САП СНГ»","115054, г. Москва, Космодамианская наб., д. 52, стр. 2, (495) 755-9800",
"4415","02.06.2021","02.06.2026","прикладное программное обеспечение подсистемы Информационной системы публикации данных и приема сообщений пользователей - портал «Наш город»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","Департамент информационных технологий города Москвы","123112, г. Москва, Красногвардейский 1-й проезд, д. 21, стр. 1, (495) 957-0131",
"4416","03.06.2021","03.06.2026","специализированное программное обеспечение подготовки запросов правоохранительных органов","Соответствует требованиям документов: Требования доверия(4), ТУ","2","АО «Информакустика»","АО «БИТК»","АО «Комита»","197101, г. Санкт-Петербург,  ул. Рентгена, д. 1, (812) 322-9400",
"4417","10.06.2021","10.06.2026","специальное программное обеспечение автоматизированной системы управления технологическими процессами безопасности и жизнеобеспечения «АССаД-М5»","Соответствует требованиям документов: Требования доверия(2), РД АСФЗ(1)","серия","АО «Эшелон-Северо-Запад»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «АЛГОНТ»","248009, г. Калуга, Грабцевское шоссе, д. 43, (4842) 58-0707","10.06.2036"
"4418","08.06.2021","08.06.2026","прикладное программное обеспечение Единой информационной системы в сфере закупок","Соответствует требованиям документов: ТУ","1","ФГУП «НПП «Гамма»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «РТ-Проектные технологии»","129110, г. Москва, ул. Гиляровского, д. 65, стр. 1, (495) 181-9650",
"4419","08.06.2021","08.06.2026","программное обеспечение «IM Platform»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","ООО «ИММЕРСМЕД»","105023, г. Москва, ул. Нижняя Первомайская, д. 43А, оф. 5, (495) 136-8058",
"4420","08.06.2021","08.06.2026","устройство однонаправленной передачи аудио и видео информации «ДИОД ЮД-20»","Соответствует требованиям документов: ТУ","серия","АО «БИТК»","ООО «ЦБИ»","ООО «Профиль Защиты»","141090, Московская обл., г. Королев, мкр. Юбилейный, ул. Пионерская, д. 1/4, пом. XXXXI",
"4421","08.06.2021","08.06.2026","техническое средство однонаправленной передачи данных «Диод-2С»","Соответствует требованиям документов: Требования доверия(2), ТУ","серия","МОУ «ИИФ»","АО «БИТК»","ООО «ЦБИ»","141090, Московская область, г. Королев, микрорайон Юбилейный, ул. Ленинская, дом 4, п/п 10, (495) 543-3060",
"4423","25.06.2021","25.06.2026","программное изделие «Интеграционная шина Factor-ESB»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","МОУ «ИИФ»","ООО «ЦБИ»","ООО «Фактор-ТС»","123290, г. Москва, 1-й Магистральный проезд, д. 11, стр. 1, эт. 5, пом. I, комн. 4, (495) 644-3130",
"4424","28.06.2021","28.06.2026","программный комплекс «Серчинформ SIEM версии 3.0»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","АО «НПО «Эшелон»","ООО «СерчИнформ»","121069, Москва, Скатертный переулок, д. 8/1, стр. 1, пом. I, комн. 2, (495) 721-8406",
"4425","06.07.2021","06.07.2026","фильтр сетевой помехоподавляющий ФСПК-10-220-98-УХЛ 4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","АО «ФЦНИВТ «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42",
"4426","06.07.2021","06.07.2026","фильтр сетевой помехоподавляющий ФСПК-40-220-99-УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","АО «ФЦНИВТ «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42",
"4427","06.07.2021","06.07.2026","фильтр сетевой помехоподавляющий ФСПК-100(200)-0,22/0,38-91 УХЛ4","Соответствует требованиям документов: Требования к ПСЗ ПЭМИН-2015","серия","АО «ФЦНИВТ «СНПО «Элерон»","АО Центр «Атомзащитаинформ»","ООО НПП «ЭЛКОМ»","249192, Калужская обл., г. Обнинск, пос. Кабицыно, д. 1, 8(495) 361-1726, 150-53-42",
"4428","09.07.2021","09.07.2026","программный комплекс «Mail.Ru Identity Manager Enterprise»","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","ООО «ЛИССИ-Софт»","АО «НПО «Эшелон»","ООО «Мэйл.Ру Цифровые Технологии»","125167, г. Москва, Ленинградский пр-т, д. 39, стр. 79, эт. 17, (495) 725-6357",
"4429","27.07.2021","27.07.2026","программный комплекс «InfoWatch ARMA Industrial Firewall»","Соответствует требованиям документов: Требования доверия(4), Требования к МЭ, Профиль защиты МЭ(Д четвертого класса защиты. ИТ.МЭ.Д4.ПЗ), Требования к СОВ, Профили защиты СОВ(cети четвертого класса защиты. ИТ.СОВ.С4.ПЗ), ЗБ","серия","АО «НПО «Эшелон»","АО «Лаборатория ППШ»","ООО «ИнфоВотч АРМА»","121357, г. Москва, Верейская ул., д. 29, стр. 134, эт. 7, комната 7.01, (495) 229-0022",
"4431","19.07.2021","19.07.2026","программное обеспечение «Государственная информационная система «Единая мобильная платформа города Москвы»","Соответствует требованиям документов: Требования доверия(6), ТУ","1","ООО «НТЦ «ИРБИС»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",
"4432","27.07.2021","27.07.2026","программный комплекс мониторинга безопасности и контроля ресурсов «DATAPK ITM»","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","АО «Эшелон-Северо-Запад»","АО «Лаборатория ППШ»","ООО «УЦСБ»","620100, г. Екатеринбург, ул. Ткачей, д. 6, (343) 379-9834",
"4433","29.07.2021","29.07.2026","программное обеспечение ePlat4m","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","АО «Эшелон-Северо-Запад»","АО «Лаборатория ППШ»","ООО «КИТ»","620100, г. Екатеринбург, ул. Ткачей, д. 23, +7 (343) 379-98-34 (вн. 1294)",
"4434","28.07.2021","28.07.2026","программное обеспечение «Расчетный модуль «Зарница 2020»","Соответствует требованиям документов: Требования доверия(3), Методики ПЭМИН-2017","серия","АО «БИТК»","АО Центр «Атомзащитаинформ»","АО «ФЦНИВТ «СНПО «Элерон»","115563, г. Москва, ул. Генерала Белова, дом 14, (499) 725-0337, (495) 393-9072, (499) 725-0009",
"4435","29.07.2021","29.07.2026","программное обеспечение «Вычислительная платформа со встроенными средствами защиты информации от несанкционированного доступа SAP HANA Enterprise Edition 2»","Соответствует требованиям документов: Требования доверия(6), ТУ","серия","АО «Лаборатория ППШ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «САП СНГ»","115054, г. Москва, Космодамианская наб., д. 52, стр. 2, (495) 755-9800",
"4436","24.08.2021","24.08.2026","прикладное программное обеспечение Единая информационная система Объединения административно-технических инспекций города Москвы","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",
"4437","05.08.2021","05.08.2026","прикладное программное обеспечение «Программный комплекс мониторинга движения лекарственных препаратов для медицинского применения»","Соответствует требованиям документов: Требования доверия(4), ТУ","серия","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО «Оператор-ЦРПТ»","123022, г. Москва, ул. Рочдельская, д. 15, стр. 16А, Бизнес-парк «Трехгорная Мануфактура», (499) 350-8559",
"4438","26.08.2021","26.08.2026","прикладное программное обеспечение Системы проектного управления информатизацией города Москвы","Соответствует требованиям документов: Требования доверия(6), ТУ","1","АО «ДОКУМЕНТАЛЬНЫЕ СИСТЕМЫ»","ФСТЭК России","ГКУ «Инфогород»","123112, г. Москва, 1-й Красногвардейский проезд, д. 21, стр. 1, (495) 957-0131",
"4439","18.08.2021","18.08.2026","устройство однонаправленной передачи мультимедийной информации «Медиадиод «МД-20»","Соответствует требованиям документов: ТУ","серия","МОУ «ИИФ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","ООО Центр безопасности информации","None",
"4440","18.08.2021","18.08.2026","система активной акустической и вибрационной защиты «ШТОРМ-10»","Соответствует требованиям документов: Требования к СВАЗ(1), ТУ","серия","ООО «ЦБИ»","ФАУ «ГНИИИ ПТЗИ ФСТЭК России»","АО «ИНФОПРО»","125047, г. Москва, ул. Брестская 2-я, д. 8, пом. XV, ком. 23, (495) 319-1618",
